clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,8.770675956840613
1121,Calculo y geometria analitica,12,1,7.289309170012727
1123,Quimica,10,1,6.353406234252613
1130,Fundamentos de fisica,6,1,7.545223272349744
1122,Fundamentos de programacion,10,1,8.128478040023106
1220,Algebra lineal,8,2,7.488458287032023
1221,Calculo integral,8,2,6.459719031725621
1228,Mecanica,12,2,8.924640990991655
1124,Redaccion y exposicion de temas de ingenieria,6,2,7.468857055521671
1227,Estructura de datos y algoritmos I,10,2,9.531399077659156
1436,Probabilidad,8,3,8.037067597412314
1325,Ecuaciones diferenciales,8,3,7.692722788144712
1222,Cultura y comunicacion,2,3,9.025848326024569
1317,Estructura de datos y algoritmos II,10,3,9.216137971800126
1323,Programacion orientada a objetos,10,3,6.568364949457401
1321,Calculo vectorial,8,3,7.2310186133518375
