clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,6.930841058913022
1121,Calculo y geometria analitica,12,1,9.00989616160131
1130,Fundamentos de fisica,6,1,9.137391490428627
1122,Fundamentos de programacion,10,1,6.940459166506943
1123,Quimica,10,1,9.908176906228178
1220,Algebra lineal,8,2,8.762260649109516
1221,Calculo integral,8,2,8.686597140455557
1228,Mecanica,12,2,8.243269175495263
1124,Redaccion y exposicion de temas de ingenieria,6,2,9.282945797069583
1227,Estructura de datos y algoritmos I,10,2,7.312190313855162
1436,Probabilidad,8,3,8.38081135670885
1321,Calculo vectorial,8,3,8.45221192094952
1325,Ecuaciones diferenciales,8,3,6.641439612108703
1222,Cultura y comunicacion,2,3,6.038378319714168
1317,Estructura de datos y algoritmos II,10,3,6.955245759574893
1323,Programacion orientada a objetos,10,3,6.20370890606906
1445,Fundamentos de estadistica,8,4,6.170563483930605
1414,Electricidad y magnetismo,10,4,6.915137261576227
1433,Analisis numerico,8,4,8.3698436785883
1424,Matematicas avanzadas,8,4,7.3803044912047495
0119,Estructuras discretas,8,4,9.248031078033913
1503,Estructura y programacion de computadoras,8,5,8.1315982404289
0138,Dispositivos electronicos,10,5,9.724397657670181
0442,Lenguajes formales y automatas,8,5,7.6484913425833145
1473,Señales y sistemas,8,5,8.497863978755174
1531,Ingenieria de software,8,5,6.749610174530051
1645,Disenio digital y moderno,10,6,7.3094430974967946
1644,Bases de datos,14,6,6.840961764894155
1562,Circuitos electronicos,8,6,7.239054461476572
1643,Administracion de proyectos de software,8,6,6.137765166706604
0840,Sistemas operativos,8,6,7.0352387914321515
