clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,7.106530560036216
1121,Calculo y geometria analitica,12,1,9.495658018028234
1130,Fundamentos de fisica,6,1,6.4851293992237
1122,Fundamentos de programacion,10,1,6.549128102144456
1123,Quimica,10,1,6.938841468865527
1220,Algebra lineal,8,2,7.444729176771096
1228,Mecanica,12,2,9.503936291773762
1124,Redaccion y exposicion de temas de ingenieria,6,2,7.326554727443062
1227,Estructura de datos y algoritmos I,10,2,9.196760257530624
1221,Calculo integral,8,2,7.869987388959871
1436,Probabilidad,8,3,9.448006434530882
1321,Calculo vectorial,8,3,6.259602289298659
1325,Ecuaciones diferenciales,8,3,9.301053560251503
1222,Cultura y comunicacion,2,3,8.78505744878016
1317,Estructura de datos y algoritmos II,10,3,8.921233571211307
1323,Programacion orientada a objetos,10,3,9.438723847093506
1414,Electricidad y magnetismo,10,4,6.114760767221582
1433,Analisis numerico,8,4,9.634294289440362
1424,Matematicas avanzadas,8,4,7.6339488724731766
0119,Estructuras discretas,8,4,9.758768919243131
1445,Fundamentos de estadistica,8,4,9.803171348473272
1503,Estructura y programacion de computadoras,8,5,8.881188432998066
0138,Dispositivos electronicos,10,5,8.254187244423631
0442,Lenguajes formales y automatas,8,5,7.292944096006307
1473,Señales y sistemas,8,5,7.188861237190544
1531,Ingenieria de software,8,5,9.931584218938918
0840,Sistemas operativos,8,6,6.533370838349301
1645,Disenio digital y moderno,10,6,8.990416164870439
1644,Bases de datos,14,6,8.614607087053004
1562,Circuitos electronicos,8,6,9.550034597840321
1643,Administracion de proyectos de software,8,6,9.643056622237749
1537,Finanzas en la ingenieria en computacion,6,7,6.857836510761092
1535,Diseño digital VLSI,8,7,6.455901710615715
0406,Inteligencia artificial,8,7,8.462775884161331
0434,Compiladores,8,7,9.85079864902751
1686,Sistemas de comunicaciones,8,7,6.882721529806543
1413,Introduccion a la economia,8,7,8.678700176391914
1000,Optativa de ciencias sociales y humanidades,6,8,9.500957507100935
1672,Microcomputadoras,8,8,8.97958388075356
1052,Etica profesional,6,8,8.1792786337943
1598,Redes de datos seguras,14,8,7.216932520305223
1590,Computacion graficas e iteracion humano-computadora,10,8,6.422923659976541
