clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,9.459426345947445
1121,Calculo y geometria analitica,12,1,7.693272358381943
1123,Quimica,10,1,7.259189191736187
1130,Fundamentos de fisica,6,1,9.531929405328444
1122,Fundamentos de programacion,10,1,9.127797356078108
1221,Calculo integral,8,2,9.492749504375439
1228,Mecanica,12,2,7.183384043276696
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.4380998758680885
1227,Estructura de datos y algoritmos I,10,2,8.77512106593962
1220,Algebra lineal,8,2,7.269647952069208
1436,Probabilidad,8,3,8.523402020234968
1321,Calculo vectorial,8,3,8.790318120416089
1325,Ecuaciones diferenciales,8,3,9.646786744079739
1222,Cultura y comunicacion,2,3,7.160229767891854
1317,Estructura de datos y algoritmos II,10,3,8.621637475282487
1323,Programacion orientada a objetos,10,3,9.349822073669728
1414,Electricidad y magnetismo,10,4,9.720635420435471
1433,Analisis numerico,8,4,6.184671889460949
1424,Matematicas avanzadas,8,4,6.7893704065843075
0119,Estructuras discretas,8,4,7.2309463898343385
1445,Fundamentos de estadistica,8,4,9.6873507748244
1503,Estructura y programacion de computadoras,8,5,8.735654588173684
0138,Dispositivos electronicos,10,5,7.144991571799203
1473,Señales y sistemas,8,5,6.522036752450065
1531,Ingenieria de software,8,5,6.437809689824721
0442,Lenguajes formales y automatas,8,5,9.120206541483183
0840,Sistemas operativos,8,6,9.382102474677412
1645,Disenio digital y moderno,10,6,8.021693914523338
1562,Circuitos electronicos,8,6,6.904197861574302
1643,Administracion de proyectos de software,8,6,8.881492491784742
1644,Bases de datos,14,6,8.081869833705332
1537,Finanzas en la ingenieria en computacion,6,7,7.412735854612968
1535,Diseño digital VLSI,8,7,6.418096263138677
0406,Inteligencia artificial,8,7,7.849881908155354
0434,Compiladores,8,7,8.562919890088978
1686,Sistemas de comunicaciones,8,7,9.981420592129993
1413,Introduccion a la economia,8,7,8.190154172471557
