clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,7.263885904109424
1121,Calculo y geometria analitica,12,1,9.452026115401413
1123,Quimica,10,1,9.751529845515716
1130,Fundamentos de fisica,6,1,6.270331254382773
1122,Fundamentos de programacion,10,1,6.085595906919579
1220,Algebra lineal,8,2,8.24676996606732
1221,Calculo integral,8,2,6.495300184691667
1228,Mecanica,12,2,7.2182384967405735
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.489001978854056
1227,Estructura de datos y algoritmos I,10,2,8.025016559382673
1321,Calculo vectorial,8,3,8.520269094197209
1325,Ecuaciones diferenciales,8,3,7.5996045516826065
1222,Cultura y comunicacion,2,3,7.198630489652024
1317,Estructura de datos y algoritmos II,10,3,7.019755108141459
1323,Programacion orientada a objetos,10,3,9.454561526291913
1436,Probabilidad,8,3,8.968059911579001
1445,Fundamentos de estadistica,8,4,6.550442279005929
1414,Electricidad y magnetismo,10,4,7.0847808543013215
1433,Analisis numerico,8,4,6.96010401311338
1424,Matematicas avanzadas,8,4,6.4815103559428415
0119,Estructuras discretas,8,4,8.235539272061583
1503,Estructura y programacion de computadoras,8,5,7.423376715979993
0138,Dispositivos electronicos,10,5,6.419311153452869
0442,Lenguajes formales y automatas,8,5,8.672019741161275
1473,Señales y sistemas,8,5,8.786550779180025
1531,Ingenieria de software,8,5,6.558117994088294
