clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,6.775702459618405
1121,Calculo y geometria analitica,12,1,7.784254984750061
1123,Quimica,10,1,6.963899232749206
1130,Fundamentos de fisica,6,1,7.925793178846829
1122,Fundamentos de programacion,10,1,7.846530066930592
1220,Algebra lineal,8,2,8.268096958722165
1221,Calculo integral,8,2,7.8040452020183135
1228,Mecanica,12,2,7.948636595817018
1124,Redaccion y exposicion de temas de ingenieria,6,2,7.856151807778872
1227,Estructura de datos y algoritmos I,10,2,8.998645284327086
1436,Probabilidad,8,3,6.514616462312784
1325,Ecuaciones diferenciales,8,3,9.087492427517486
1222,Cultura y comunicacion,2,3,8.000465663450903
1317,Estructura de datos y algoritmos II,10,3,8.757810434054134
1323,Programacion orientada a objetos,10,3,9.692281051620233
1321,Calculo vectorial,8,3,9.907333790776242
