clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,6.3951076848826185
1121,Calculo y geometria analitica,12,1,7.334604310001209
1123,Quimica,10,1,6.8297702067697905
1130,Fundamentos de fisica,6,1,8.055865073824867
1122,Fundamentos de programacion,10,1,6.183776711221624
1220,Algebra lineal,8,2,8.650898828921166
1221,Calculo integral,8,2,6.763805962995358
1228,Mecanica,12,2,9.029723610954145
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.201700715466185
1227,Estructura de datos y algoritmos I,10,2,6.174354758925596
1436,Probabilidad,8,3,7.225509792641178
1321,Calculo vectorial,8,3,7.738200220128028
1325,Ecuaciones diferenciales,8,3,6.260511363702726
1317,Estructura de datos y algoritmos II,10,3,9.92212332052756
1323,Programacion orientada a objetos,10,3,8.72072349889836
1222,Cultura y comunicacion,2,3,9.873273010264386
1445,Fundamentos de estadistica,8,4,6.8536189289437095
1433,Analisis numerico,8,4,8.749162933629032
1424,Matematicas avanzadas,8,4,9.846969649790463
0119,Estructuras discretas,8,4,9.730241860977818
1414,Electricidad y magnetismo,10,4,7.038350410082291
1503,Estructura y programacion de computadoras,8,5,8.996998926001401
0138,Dispositivos electronicos,10,5,6.988748594875888
0442,Lenguajes formales y automatas,8,5,8.922652869732852
1473,Señales y sistemas,8,5,8.4583504177854
1531,Ingenieria de software,8,5,8.942322614757542
0840,Sistemas operativos,8,6,8.583821797461752
1645,Disenio digital y moderno,10,6,6.779446025539624
1644,Bases de datos,14,6,8.493671664367433
1562,Circuitos electronicos,8,6,6.5377388222420425
1643,Administracion de proyectos de software,8,6,8.965489289241722
