clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,6.616364171183108
1121,Calculo y geometria analitica,12,1,8.977358103458718
1123,Quimica,10,1,7.0492486970997605
1130,Fundamentos de fisica,6,1,8.665059322786973
1122,Fundamentos de programacion,10,1,8.983417116849411
1220,Algebra lineal,8,2,6.5937574402974555
1221,Calculo integral,8,2,8.440066335404431
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.392489302636974
1227,Estructura de datos y algoritmos I,10,2,9.606431350730992
1228,Mecanica,12,2,7.128009381247697
