clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,8.921823095434466
1123,Quimica,10,1,6.940520670435477
1130,Fundamentos de fisica,6,1,8.307379135029388
1122,Fundamentos de programacion,10,1,7.776728376399694
1121,Calculo y geometria analitica,12,1,6.5903483636717715
1220,Algebra lineal,8,2,9.184226363204285
1221,Calculo integral,8,2,9.661752833147638
1228,Mecanica,12,2,8.72559945213518
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.124892077105968
1227,Estructura de datos y algoritmos I,10,2,9.10659321599707
1436,Probabilidad,8,3,7.807280775791721
1321,Calculo vectorial,8,3,8.887519996729074
1325,Ecuaciones diferenciales,8,3,7.493168688327555
1222,Cultura y comunicacion,2,3,6.423417106760011
1323,Programacion orientada a objetos,10,3,6.65693404114436
1317,Estructura de datos y algoritmos II,10,3,6.504875553696995
1445,Fundamentos de estadistica,8,4,9.856559995853345
1414,Electricidad y magnetismo,10,4,8.497276060069847
1433,Analisis numerico,8,4,7.759166413542141
1424,Matematicas avanzadas,8,4,9.279970624202612
0119,Estructuras discretas,8,4,7.396068825458707
