clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,8.25190992171864
1121,Calculo y geometria analitica,12,1,6.065176771955505
1123,Quimica,10,1,8.393101608322977
1130,Fundamentos de fisica,6,1,8.098102625176946
1122,Fundamentos de programacion,10,1,7.436881925973237
1220,Algebra lineal,8,2,6.769681200796819
1221,Calculo integral,8,2,8.509970772734528
1228,Mecanica,12,2,6.631177962167204
1124,Redaccion y exposicion de temas de ingenieria,6,2,9.970355901915267
1227,Estructura de datos y algoritmos I,10,2,7.525084123829193
1436,Probabilidad,8,3,9.094145849218853
1325,Ecuaciones diferenciales,8,3,7.071944929366801
1222,Cultura y comunicacion,2,3,8.935359716985053
1317,Estructura de datos y algoritmos II,10,3,9.407959097542742
1323,Programacion orientada a objetos,10,3,8.86317065156927
1321,Calculo vectorial,8,3,6.712632393666873
