clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,8.282864063974504
1121,Calculo y geometria analitica,12,1,6.3037501000373855
1123,Quimica,10,1,8.292417425984205
1122,Fundamentos de programacion,10,1,7.90165643854303
1130,Fundamentos de fisica,6,1,7.225475969185627
1220,Algebra lineal,8,2,9.289936478655134
1221,Calculo integral,8,2,9.354272536707338
1228,Mecanica,12,2,8.950947431264565
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.607200895181993
1227,Estructura de datos y algoritmos I,10,2,9.658345720448805
1436,Probabilidad,8,3,6.343491163569915
1321,Calculo vectorial,8,3,8.573449306635744
1325,Ecuaciones diferenciales,8,3,9.682644274298019
1222,Cultura y comunicacion,2,3,7.148291381875972
1323,Programacion orientada a objetos,10,3,9.040992093898776
1317,Estructura de datos y algoritmos II,10,3,9.394997841369513
1445,Fundamentos de estadistica,8,4,6.29546723301446
1414,Electricidad y magnetismo,10,4,7.042805368720895
1433,Analisis numerico,8,4,8.885671295673687
1424,Matematicas avanzadas,8,4,7.6362797684121375
0119,Estructuras discretas,8,4,8.589785321208474
1503,Estructura y programacion de computadoras,8,5,7.797499475272376
0138,Dispositivos electronicos,10,5,8.640422955881112
0442,Lenguajes formales y automatas,8,5,9.810039835478758
1473,Señales y sistemas,8,5,7.818343081085853
1531,Ingenieria de software,8,5,7.5749483282662835
