clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,6.968735371652253
1121,Calculo y geometria analitica,12,1,7.005008869820405
1123,Quimica,10,1,7.403036527233191
1122,Fundamentos de programacion,10,1,9.412033258983545
1130,Fundamentos de fisica,6,1,7.075253085826725
1220,Algebra lineal,8,2,9.832209119874477
1221,Calculo integral,8,2,8.229001619021137
1228,Mecanica,12,2,7.7596384901231215
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.056487773113101
1227,Estructura de datos y algoritmos I,10,2,7.383564728051127
1436,Probabilidad,8,3,6.033839399737703
1321,Calculo vectorial,8,3,7.148761224965151
1325,Ecuaciones diferenciales,8,3,6.692182697865693
1222,Cultura y comunicacion,2,3,7.947057868776513
1317,Estructura de datos y algoritmos II,10,3,9.747512629045858
1323,Programacion orientada a objetos,10,3,6.870602827968631
