clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,9.101425307120756
1121,Calculo y geometria analitica,12,1,7.720473726519764
1123,Quimica,10,1,8.384424414955479
1130,Fundamentos de fisica,6,1,7.453866019511015
1122,Fundamentos de programacion,10,1,9.223305385763243
1220,Algebra lineal,8,2,9.08333170663812
1221,Calculo integral,8,2,9.30966698472044
1228,Mecanica,12,2,7.445682445257887
1124,Redaccion y exposicion de temas de ingenieria,6,2,9.327299669816842
1227,Estructura de datos y algoritmos I,10,2,9.597112202839417
1436,Probabilidad,8,3,9.38967204476372
1321,Calculo vectorial,8,3,9.80098437044079
1325,Ecuaciones diferenciales,8,3,9.514167011741348
1222,Cultura y comunicacion,2,3,9.827828596979604
1317,Estructura de datos y algoritmos II,10,3,9.513889329888634
1323,Programacion orientada a objetos,10,3,8.458664316380293
1445,Fundamentos de estadistica,8,4,8.126481091893819
1433,Analisis numerico,8,4,8.988783593287504
1424,Matematicas avanzadas,8,4,7.745660383512848
0119,Estructuras discretas,8,4,7.365083872586691
1414,Electricidad y magnetismo,10,4,7.935302516834675
