clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,9.650401111506103
1121,Calculo y geometria analitica,12,1,6.8250838897645885
1123,Quimica,10,1,6.080930860803079
1130,Fundamentos de fisica,6,1,7.914586945842324
1122,Fundamentos de programacion,10,1,6.204035941607435
1220,Algebra lineal,8,2,6.552346415820672
1221,Calculo integral,8,2,9.494736889063132
1228,Mecanica,12,2,6.8025186237821345
1124,Redaccion y exposicion de temas de ingenieria,6,2,8.673233127836738
1227,Estructura de datos y algoritmos I,10,2,7.0741550155247515
1436,Probabilidad,8,3,9.356716061496964
1321,Calculo vectorial,8,3,9.913636713679843
1325,Ecuaciones diferenciales,8,3,6.546430520775763
1317,Estructura de datos y algoritmos II,10,3,7.10944203210593
1323,Programacion orientada a objetos,10,3,8.855083629307831
1222,Cultura y comunicacion,2,3,8.197853749564713
