clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,8.907618244657183
1121,Calculo y geometria analitica,12,1,7.082743801069169
1123,Quimica,10,1,7.4330324882970835
1130,Fundamentos de fisica,6,1,6.28135828718707
1122,Fundamentos de programacion,10,1,6.165579528354973
1220,Algebra lineal,8,2,6.948318046456309
1221,Calculo integral,8,2,7.547979616891516
1228,Mecanica,12,2,9.299070990466674
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.644057957062222
1227,Estructura de datos y algoritmos I,10,2,7.2480448105926465
