clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,9.670915708030286
1123,Quimica,10,1,9.239340256396995
1130,Fundamentos de fisica,6,1,7.4272440435138645
1122,Fundamentos de programacion,10,1,8.082747723619718
1121,Calculo y geometria analitica,12,1,7.8626608788704555
1220,Algebra lineal,8,2,7.663921936451809
1221,Calculo integral,8,2,7.3413914133431755
1228,Mecanica,12,2,6.593043915776532
1124,Redaccion y exposicion de temas de ingenieria,6,2,8.859615405764952
1227,Estructura de datos y algoritmos I,10,2,9.87909273951012
1436,Probabilidad,8,3,7.134009860242902
1321,Calculo vectorial,8,3,8.356532325086876
1325,Ecuaciones diferenciales,8,3,7.119627405200356
1222,Cultura y comunicacion,2,3,8.66778559356483
1317,Estructura de datos y algoritmos II,10,3,6.078060847884508
1323,Programacion orientada a objetos,10,3,8.1325685587841
