clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,7.591825470412029
1121,Calculo y geometria analitica,12,1,6.971031402592799
1123,Quimica,10,1,9.000262119140995
1130,Fundamentos de fisica,6,1,9.371731537759182
1122,Fundamentos de programacion,10,1,6.797125127789618
1221,Calculo integral,8,2,8.188901607818748
1228,Mecanica,12,2,9.118878230531571
1124,Redaccion y exposicion de temas de ingenieria,6,2,9.64803731947437
1227,Estructura de datos y algoritmos I,10,2,9.734481886291277
1220,Algebra lineal,8,2,6.912088982261276
1436,Probabilidad,8,3,7.496366836728647
1321,Calculo vectorial,8,3,8.886258991648322
1325,Ecuaciones diferenciales,8,3,7.024457816665684
1222,Cultura y comunicacion,2,3,8.478402166180551
1317,Estructura de datos y algoritmos II,10,3,8.946408536015216
1323,Programacion orientada a objetos,10,3,9.534344392337411
1445,Fundamentos de estadistica,8,4,7.169929773456968
1433,Analisis numerico,8,4,7.680145390233546
1424,Matematicas avanzadas,8,4,8.536770123851221
0119,Estructuras discretas,8,4,9.640505449275485
1414,Electricidad y magnetismo,10,4,9.77518056207148
