clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,8.480044532429135
1121,Calculo y geometria analitica,12,1,9.49525874076539
1123,Quimica,10,1,6.374040161745606
1130,Fundamentos de fisica,6,1,8.109730106583285
1122,Fundamentos de programacion,10,1,6.402870283279884
1220,Algebra lineal,8,2,7.977991362495052
1221,Calculo integral,8,2,6.7546791217049496
1228,Mecanica,12,2,7.704830274178116
1124,Redaccion y exposicion de temas de ingenieria,6,2,9.302908550798007
1227,Estructura de datos y algoritmos I,10,2,7.452446136541523
1321,Calculo vectorial,8,3,9.345688763909697
1325,Ecuaciones diferenciales,8,3,6.878091752417433
1222,Cultura y comunicacion,2,3,9.820951823038978
1317,Estructura de datos y algoritmos II,10,3,8.248109556474429
1323,Programacion orientada a objetos,10,3,6.985405867805209
1436,Probabilidad,8,3,6.114119379104117
1445,Fundamentos de estadistica,8,4,6.60350465381131
1414,Electricidad y magnetismo,10,4,7.503537846810777
1433,Analisis numerico,8,4,9.205870147899702
0119,Estructuras discretas,8,4,9.576869743415765
1424,Matematicas avanzadas,8,4,6.667924721363117
0138,Dispositivos electronicos,10,5,7.017212525630064
0442,Lenguajes formales y automatas,8,5,7.513921852227925
1473,Señales y sistemas,8,5,7.984572184515393
1531,Ingenieria de software,8,5,9.816792986668817
1503,Estructura y programacion de computadoras,8,5,6.292797283653996
