clave,nombre,creditos,semestre,calificacion
1121,Calculo y geometria analitica,12,1,9.373991386640851
1123,Quimica,10,1,7.2914659767079
1130,Fundamentos de fisica,6,1,9.720384767292053
1122,Fundamentos de programacion,10,1,7.461863994209443
1120,Algebra,8,1,6.673555435357972
1220,Algebra lineal,8,2,9.080514677687425
1221,Calculo integral,8,2,9.474936043645746
1124,Redaccion y exposicion de temas de ingenieria,6,2,9.049833092268734
1227,Estructura de datos y algoritmos I,10,2,6.814356406368283
1228,Mecanica,12,2,6.170560202922775
1436,Probabilidad,8,3,7.71131734921855
1321,Calculo vectorial,8,3,9.07184801305837
1325,Ecuaciones diferenciales,8,3,9.46417774080458
1317,Estructura de datos y algoritmos II,10,3,7.506066176819104
1323,Programacion orientada a objetos,10,3,6.959302120876942
1222,Cultura y comunicacion,2,3,9.31237940131891
1445,Fundamentos de estadistica,8,4,9.626980359814487
1414,Electricidad y magnetismo,10,4,7.4051585674986224
1433,Analisis numerico,8,4,8.956804102606888
1424,Matematicas avanzadas,8,4,9.086178530263489
0119,Estructuras discretas,8,4,7.27730958713731
1503,Estructura y programacion de computadoras,8,5,6.004713938027965
0138,Dispositivos electronicos,10,5,7.560745759632855
0442,Lenguajes formales y automatas,8,5,9.450991033379985
1531,Ingenieria de software,8,5,8.993943397237972
1473,Señales y sistemas,8,5,7.682380584972559
