clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,9.964496828134642
1121,Calculo y geometria analitica,12,1,7.255945846016042
1123,Quimica,10,1,8.495647734608582
1130,Fundamentos de fisica,6,1,9.692671229579297
1122,Fundamentos de programacion,10,1,7.30173943434221
1220,Algebra lineal,8,2,6.296514788174894
1221,Calculo integral,8,2,9.775557262858033
1228,Mecanica,12,2,6.976988695831537
1227,Estructura de datos y algoritmos I,10,2,8.065100011244606
1124,Redaccion y exposicion de temas de ingenieria,6,2,7.819799093844578
1436,Probabilidad,8,3,6.560671645928773
1321,Calculo vectorial,8,3,8.335045506082675
1325,Ecuaciones diferenciales,8,3,7.93168235937134
1222,Cultura y comunicacion,2,3,8.055916758814254
1317,Estructura de datos y algoritmos II,10,3,7.612498252704421
1323,Programacion orientada a objetos,10,3,6.225578556994263
1445,Fundamentos de estadistica,8,4,7.693821207188452
1414,Electricidad y magnetismo,10,4,9.599147289891455
1433,Analisis numerico,8,4,8.89362807057919
0119,Estructuras discretas,8,4,8.643885280875804
1424,Matematicas avanzadas,8,4,9.163546210280401
1503,Estructura y programacion de computadoras,8,5,9.55419102082633
0138,Dispositivos electronicos,10,5,8.09910914316194
0442,Lenguajes formales y automatas,8,5,7.981250070493518
1531,Ingenieria de software,8,5,6.294517944400229
1473,Señales y sistemas,8,5,6.245512147569194
0840,Sistemas operativos,8,6,9.805743024875532
1645,Disenio digital y moderno,10,6,6.6511292841704
1562,Circuitos electronicos,8,6,7.713940710686417
1643,Administracion de proyectos de software,8,6,9.515278267109695
1644,Bases de datos,14,6,6.2306386571405525
1535,Diseño digital VLSI,8,7,9.384559110058467
0406,Inteligencia artificial,8,7,8.735863799521534
0434,Compiladores,8,7,6.920564859321917
1686,Sistemas de comunicaciones,8,7,9.531762154401454
1413,Introduccion a la economia,8,7,6.944910341017063
1537,Finanzas en la ingenieria en computacion,6,7,7.931187610835116
1000,Optativa de ciencias sociales y humanidades,6,8,9.550650916792486
1672,Microcomputadoras,8,8,7.649627733542281
1590,Computacion graficas e iteracion humano-computadora,10,8,8.984766010683096
1052,Etica profesional,6,8,7.4585996039911056
1598,Redes de datos seguras,14,8,8.720385485446334
1867,Organizacion y arquitectura de computadoras,8,9,8.880681923852855
1858,Fundamentos de sistemas embebidos,8,9,6.865359510044826
1959,Sistemas distribuidos,8,9,7.614568807074953
2080,Recursos y necesidades de Mexico,8,9,6.455764838533537
1952,Optativa de campo de profundizacion,8,9,6.68933966059857
2022,Administracion de servicios de Internet,8,10,8.481660426830429
2012,Bases de datos distribuidas,8,10,8.439435315290185
2087,Computo  movil,6,10,6.4730128379465945
2310,Reconocimiento de patrones,6,10,7.70703540330142
2432,Temas selectos de ingenieria en computacion I,6,10,6.4838584976886215
2111,Temas selectos de ingenieria en computacion II,6,10,8.72053766568451
